question_id,language,question,multi_faithfulness,multi_completeness,multi_appropriateness,multi_faith_label,trans_faithfulness,trans_completeness,trans_appropriateness,trans_faith_label
0,hindi,इंसुलिन प्रतिरोध क्या है और यह कोशिकाओं में ग्लूकोज के प्रवेश को कैसे प्रभावित करता है?,5,5,5,factual,5,5,5,factual
1,hindi,हृदय रोग के जोखिम पर पारिवारिक इतिहास का क्या प्रभाव पड़ता है?,5,5,5,factual,5,5,5,factual
2,hindi,धूम्रपान का रक्तचाप और हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,5,5,5,factual,5,5,5,factual
3,hindi,हृदय रोग के कौन से जोखिम कारक बदले जा सकते हैं?,5,5,5,factual,5,5,5,factual
4,hindi,विभिन्न जातीय समूहों में हृदय रोग की दरों में क्या अंतर हैं?,3,5,5,partial,3,5,5,partial
5,hindi,शराब के सेवन का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,5,3,5,factual,5,2,5,factual
6,hindi,अतिरिक्त कैलोरी का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,5,5,5,factual,5,5,5,factual
7,hindi,तनाव का हृदय रोग से क्या संबंध है?,5,5,5,factual,5,5,5,factual
8,hindi,कौन सा जातीय समूह अन्य की तुलना में हृदय रोग की दरों में कम है?,1,2,2,hallucinated,5,5,5,factual
9,hindi,परिवार के सदस्यों के लिए हृदय रोग निदान की आयु सीमाएं क्या हैं जो जोखिम बढ़ाती हैं?,5,5,5,factual,5,5,5,factual
10,hindi,अनुशंसित शराब से अधिक पीने के हृदय रोग जोखिम पर क्या प्रभाव होते हैं?,5,2,2,factual,5,5,5,factual
11,hindi,पुरुषों और महिलाओं के लिए हृदय रोग के जोखिम को कम करने के लिए पीने के दिशा-निर्देश क्या हैं?,5,5,5,factual,5,5,5,factual
12,hindi,तनाव प्रबंधन हृदय रोग के जोखिम को कैसे प्रभावित करता है?,5,5,5,factual,5,5,5,factual
13,hindi,धूम्रपान करने वालों के लिए हृदय रोग के जोखिम को कम करने के लिए क्या अनुशंसित कार्रवाई है?,5,5,5,factual,5,5,5,factual
14,hindi,धूम्रपान छोड़ने का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,5,5,5,factual,5,5,5,factual
15,hindi,हृदय रोग के जोखिम को कम करने के लिए महिलाओं के लिए शराब सेवन के दिशा-निर्देश क्या हैं?,5,2,4,factual,5,3,5,factual
16,hindi,मेपिवाकेन हाइड्रोक्लोराइड का उपयोग किस लिए किया जाता है?,5,3,5,factual,5,5,5,factual
17,hindi,मेपेरिडाइन हाइड्रोक्लोराइड का संरचनात्मक सूत्र क्या है?,5,3,5,factual,5,3,5,factual
18,hindi,स्थानीय एनेस्थेटिक्स की क्रिया में प्लाज्मा प्रोटीन की क्या भूमिका होती है?,5,3,5,factual,3,3,4,partial
19,hindi,कौन सी मेपिवाकेन हाइड्रोक्लोराइड की सांद्रता पूर्ण संवेदी और मोटर ब्लॉक प्रदान करती है?,5,3,5,factual,5,5,5,factual
20,hindi,मेपिवाकेन द्वारा प्रदान की गई एनेस्थीसिया आमतौर पर सर्जरी के लिए कितनी देर तक पर्याप्त होती है?,5,5,5,factual,5,5,5,factual
21,hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन का पीएच रेंज क्या है?,5,3,5,factual,5,5,5,factual
22,hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन के प्रशासन के रूप क्या हैं?,5,3,5,factual,5,5,5,factual
23,hindi,मेपेरिडाइन हाइड्रोक्लोराइड का गलनांक क्या है?,5,3,5,factual,5,3,5,factual
24,hindi,मेपेरिडाइन हाइड्रोक्लोराइड की रासायनिक संरचना क्या है?,5,3,5,factual,5,3,5,factual
25,hindi,मपेरीडाइन हाइड्रोक्लोराइड का नारकोटिक एनाल्जेसिक के रूप में क्या भूमिका है?,5,1,5,factual,3,4,2,partial
26,hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन के लिए उपलब्ध सांद्रता क्या हैं?,5,3,5,factual,5,5,5,factual
