question_id,question,overlap_count,overlap_rate,total_unique_chunks,multi_chunk_count,trans_chunk_count,multi_only_count,trans_only_count,overlapping_chunks,multi_only_chunks,trans_only_chunks,multi_sources,trans_sources,multi_scores,trans_scores,multi_avg_relevance,trans_avg_relevance,overlapping_avg_relevance,multi_only_avg_relevance,trans_only_avg_relevance,multi_best_chunk_relevance,trans_best_chunk_relevance
31,什么是胰岛素抵抗，它如何影响葡萄糖进入细胞？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,家族史如何影响心脏病的风险？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,吸烟对血压和心脏病风险有何影响？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,可以改变的心脏病风险因素有哪些？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,不同族群之间心脏病发病率有什么差异？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,酒精摄入对心脏病风险有什么影响？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,额外的卡路里对心脏病风险有什么影响？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,压力与心脏病有什么关系？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,哪个族群的心脏病发病率比其他族群低？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,家族成员心脏病诊断的年龄阈值是多少会增加风险？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,饮酒超过推荐量对心脏病风险有什么影响？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,男性和女性减少心脏病风险的饮酒指南是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,管理压力如何影响心脏病风险？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,吸烟者降低心脏病风险的建议措施是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,戒烟对心脏病风险有什么影响？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,女性饮酒以降低心脏病风险的指南是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,盐酸甲哌卡因用于什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,哌替啶盐酸盐的结构式是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,血浆蛋白在局部麻醉药作用中的角色是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,什么浓度的盐酸甲哌卡因可以提供完全的感觉和运动阻滞？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,盐酸甲哌卡因提供的麻醉通常能维持手术多长时间？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,哌替啶盐酸盐注射液的pH范围是多少？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,哌替啶盐酸盐注射液有哪些给药形式？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,哌替啶盐酸盐的熔点是多少？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,盐酸哌替啶的化学成分是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,盐酸哌替啶作为麻醉性镇痛药的作用是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,盐酸哌替啶注射液有哪些浓度可用？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,血浆浓度与局部麻醉药物结合之间的关系是什么？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,唑来膦酸注射液的潜在肾脏副作用有哪些？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,在唑来膦酸注射液的上市后使用中报告了哪些不良反应？,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
