question_id,question,overlap_count,overlap_rate,total_unique_chunks,multi_chunk_count,trans_chunk_count,multi_only_count,trans_only_count,overlapping_chunks,multi_only_chunks,trans_only_chunks,multi_sources,trans_sources,multi_scores,trans_scores,multi_avg_relevance,trans_avg_relevance,overlapping_avg_relevance,multi_only_avg_relevance,trans_only_avg_relevance,multi_best_chunk_relevance,trans_best_chunk_relevance
1,इंसुलिन प्रतिरोध क्या है और यह कोशिकाओं में ग्लूकोज के प्रवेश को कैसे प्रभावित करता है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,हृदय रोग के जोखिम पर पारिवारिक इतिहास का क्या प्रभाव पड़ता है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,धूम्रपान का रक्तचाप और हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,हृदय रोग के कौन से जोखिम कारक बदले जा सकते हैं?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,विभिन्न जातीय समूहों में हृदय रोग की दरों में क्या अंतर हैं?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,शराब के सेवन का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,अतिरिक्त कैलोरी का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,तनाव का हृदय रोग से क्या संबंध है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,कौन सा जातीय समूह अन्य की तुलना में हृदय रोग की दरों में कम है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,परिवार के सदस्यों के लिए हृदय रोग निदान की आयु सीमाएं क्या हैं जो जोखिम बढ़ाती हैं?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,अनुशंसित शराब से अधिक पीने के हृदय रोग जोखिम पर क्या प्रभाव होते हैं?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,पुरुषों और महिलाओं के लिए हृदय रोग के जोखिम को कम करने के लिए पीने के दिशा-निर्देश क्या हैं?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,तनाव प्रबंधन हृदय रोग के जोखिम को कैसे प्रभावित करता है?,0,0.0,0,0,0,0,0,[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
