question_id,language,question,question_english_reference,semantic_similarity,rouge1_f1,rouge1_precision,rouge1_recall,rouge2_f1,rouge2_precision,rouge2_recall,rougeL_f1,rougeL_precision,rougeL_recall,avg_similarity_score_multilingual,min_similarity_score_multilingual,avg_similarity_score_translation,min_similarity_score_translation,unique_sources_multilingual,unique_sources_translation,retrieval_overlap,time_multilingual,time_translation,time_difference,time_speedup,multilingual_retrieval_time,multilingual_generation_time,multilingual_response_translation_time,translation_question_translation_time,translation_retrieval_time,translation_generation_time,translation_response_translation_time
1,Hindi,इंसुलिन प्रतिरोध क्या है और यह कोशिकाओं में ग्लूकोज के प्रवेश को कैसे प्रभावित करता है?,,0.933011531829834,0.4736842105263157,0.34615384615384615,0.75,0.22516556291390727,0.1642512077294686,0.35789473684210527,0.3157894736842105,0.23076923076923078,0.5,0.0,0.0,0.0,0.0,0,0,0.0,10.533942937850952,10.387609004974363,-0.1463339328765887,0.9861083419817307,0.5299794673919678,10.003963470458984,0.0,0.0,0.5400841236114502,9.847524881362917,0.0
2,Hindi,हृदय रोग के जोखिम पर पारिवारिक इतिहास का क्या प्रभाव पड़ता है?,,0.9693603515625,0.6366782006920416,0.5476190476190477,0.7603305785123967,0.3623693379790941,0.31137724550898205,0.43333333333333335,0.4775086505190311,0.4107142857142857,0.5702479338842975,0.0,0.0,0.0,0.0,0,0,0.0,70.4241054058075,8.812736749649048,-61.61136865615845,0.12513807167115693,0.0309820175170898,70.3931233882904,0.0,0.0,0.5116298198699951,8.301106929779053,0.0
3,Hindi,धूम्रपान का रक्तचाप और हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,,0.8768599033355713,0.4868913857677903,0.4012345679012346,0.6190476190476191,0.27169811320754716,0.2236024844720497,0.34615384615384615,0.3595505617977528,0.2962962962962963,0.45714285714285713,0.0,0.0,0.0,0.0,0,0,0.0,10.2253839969635,8.11389684677124,-2.111487150192259,0.7935053440712564,0.0380728244781494,10.187311172485352,0.0,0.0,0.5789859294891357,7.534910917282104,0.0
4,Hindi,हृदय रोग के कौन से जोखिम कारक बदले जा सकते हैं?,,0.9298173189163208,0.5583333333333333,0.4962962962962963,0.638095238095238,0.2857142857142857,0.2537313432835821,0.3269230769230769,0.47500000000000003,0.4222222222222222,0.5428571428571428,0.0,0.0,0.0,0.0,0,0,0.0,9.94139575958252,8.132235527038574,-1.8091602325439453,0.8180174820220698,0.0399558544158935,9.901439905166626,0.0,0.0,0.453493595123291,7.678741931915283,0.0
5,Hindi,विभिन्न जातीय समूहों में हृदय रोग की दरों में क्या अंतर हैं?,,0.9272611141204834,0.6112956810631229,0.46938775510204084,0.8761904761904762,0.4147157190635451,0.31794871794871793,0.5961538461538461,0.4318936877076412,0.33163265306122447,0.6190476190476191,0.0,0.0,0.0,0.0,0,0,0.0,9.84473204612732,9.622453451156616,-0.22227859497070312,0.9774215698376328,0.0384798049926757,9.806252241134644,0.0,0.0,0.5749309062957764,9.04752254486084,0.0
6,Hindi,शराब के सेवन का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,,0.8646275997161865,0.5714285714285714,0.6304347826086957,0.5225225225225225,0.23880597014925373,0.26373626373626374,0.21818181818181817,0.4433497536945813,0.4891304347826087,0.40540540540540543,0.0,0.0,0.0,0.0,0,0,0.0,9.555461168289185,6.180486679077148,-3.374974489212036,0.6468015065131291,0.0350174903869628,9.520443677902222,0.0,0.0,0.5094470977783203,5.671039581298828,0.0
7,Hindi,अतिरिक्त कैलोरी का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,,0.8895704746246338,0.49765258215962443,0.4774774774774775,0.5196078431372549,0.2843601895734597,0.2727272727272727,0.297029702970297,0.3192488262910798,0.3063063063063063,0.3333333333333333,0.0,0.0,0.0,0.0,0,0,0.0,9.431009531021118,7.1883039474487305,-2.2427055835723877,0.7621987788056488,0.028956651687622,9.402052879333496,0.0,0.0,0.5073626041412354,6.680941343307495,0.0
8,Hindi,तनाव का हृदय रोग से क्या संबंध है?,,0.9142992496490479,0.5213675213675214,0.41496598639455784,0.7011494252873564,0.1810344827586207,0.14383561643835616,0.2441860465116279,0.34188034188034194,0.272108843537415,0.45977011494252873,0.0,0.0,0.0,0.0,0,0,0.0,9.380351543426514,9.06050443649292,-0.31984710693359375,0.9659024392153263,0.0200335979461669,9.360317945480348,0.0,0.0,0.5345809459686279,8.525923490524292,0.0
9,Hindi,कौन सा जातीय समूह अन्य की तुलना में हृदय रोग की दरों में कम है?,,0.9419618844985962,0.627906976744186,0.6352941176470588,0.6206896551724138,0.42352941176470593,0.42857142857142855,0.4186046511627907,0.4883720930232558,0.49411764705882355,0.4827586206896552,0.0,0.0,0.0,0.0,0,0,0.0,9.348140001296995,6.1111719608306885,-3.236968040466307,0.6537313262299026,0.0278370380401611,9.320302963256836,0.0,0.0,0.5409877300262451,5.570184230804443,0.0
10,Hindi,परिवार के सदस्यों के लिए हृदय रोग निदान की आयु सीमाएं क्या हैं जो जोखिम बढ़ाती हैं?,,0.8945590853691101,0.5714285714285714,0.71875,0.4742268041237113,0.22641509433962265,0.2857142857142857,0.1875,0.42236024844720493,0.53125,0.35051546391752575,0.0,0.0,0.0,0.0,0,0,0.0,7.911682367324829,6.463819265365601,-1.4478631019592285,0.8169968112042909,0.0497286319732666,7.861953735351562,0.0,0.0,0.5112631320953369,5.952556133270264,0.0
11,Hindi,अनुशंसित शराब से अधिक पीने के हृदय रोग जोखिम पर क्या प्रभाव होते हैं?,,0.7354933619499207,0.3546099290780142,0.30864197530864196,0.4166666666666667,0.07142857142857142,0.062111801242236024,0.08403361344537816,0.15602836879432624,0.13580246913580246,0.18333333333333332,0.0,0.0,0.0,0.0,0,0,0.0,9.890634059906006,8.56269097328186,-1.3279430866241455,0.865737314859593,0.0285003185272216,9.862133741378784,0.0,0.0,0.6326143741607666,7.930076599121094,0.0
12,Hindi,पुरुषों और महिलाओं के लिए हृदय रोग के जोखिम को कम करने के लिए पीने के दिशा-निर्देश क्या हैं?,,0.9386435747146606,0.6956521739130435,0.7,0.691358024691358,0.38993710691823896,0.3924050632911392,0.3875,0.546583850931677,0.55,0.5432098765432098,0.0,0.0,0.0,0.0,0,0,0.0,7.856238126754761,6.019787311553955,-1.8364508152008057,0.7662429797097554,0.047633409500122,7.808604717254639,0.0,0.0,0.5803916454315186,5.4393956661224365,0.0
13,Hindi,तनाव प्रबंधन हृदय रोग के जोखिम को कैसे प्रभावित करता है?,,0.9119061231613159,0.5476190476190476,0.4859154929577465,0.6272727272727273,0.248,0.2198581560283688,0.28440366972477066,0.4047619047619048,0.3591549295774648,0.4636363636363636,0.0,0.0,0.0,0.0,0,0,0.0,70.26097679138184,7.764100074768066,-62.49687671661377,0.11050373093760356,0.033980369567871,70.22699642181396,0.0,0.0,0.4405808448791504,7.323519229888916,0.0
14,Hindi,धूम्रपान करने वालों के लिए हृदय रोग के जोखिम को कम करने के लिए क्या अनुशंसित कार्रवाई है?,,0.8950488567352295,0.49289099526066354,0.46846846846846846,0.52,0.20095693779904306,0.19090909090909092,0.21212121212121213,0.33175355450236965,0.3153153153153153,0.35,0.0,0.0,0.0,0.0,0,0,0.0,31.4115948677063,8.17154335975647,-23.24005150794983,0.2601441726907502,0.0330400466918945,31.378554821014404,0.0,0.0,0.5013964176177979,7.670146942138672,0.0
15,Hindi,धूम्रपान छोड़ने का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,,0.904870331287384,0.6406926406926408,0.5873015873015873,0.7047619047619048,0.314410480349345,0.288,0.34615384615384615,0.40692640692640697,0.373015873015873,0.44761904761904764,0.0,0.0,0.0,0.0,0,0,0.0,9.940617561340332,7.166423797607422,-2.77419376373291,0.7209233987109696,0.0321264266967773,9.908491134643556,0.0,0.0,0.549149751663208,6.617274045944214,0.0
16,Hindi,हृदय रोग के जोखिम को कम करने के लिए महिलाओं के लिए शराब सेवन के दिशा-निर्देश क्या हैं?,,0.8354206085205078,0.5842696629213483,0.5473684210526316,0.6265060240963856,0.23863636363636365,0.22340425531914893,0.25609756097560976,0.3595505617977528,0.3368421052631579,0.3855421686746988,0.0,0.0,0.0,0.0,0,0,0.0,9.55275583267212,6.308037519454956,-3.244718313217163,0.6603369362671606,0.0637097358703613,9.489046096801758,0.0,0.0,0.5655443668365479,5.742493152618408,0.0
17,Hindi,मेपिवाकेन हाइड्रोक्लोराइड का उपयोग किस लिए किया जाता है?,,0.640943706035614,0.22033898305084745,0.19402985074626866,0.2549019607843137,0.03448275862068965,0.030303030303030304,0.04,0.11864406779661016,0.1044776119402985,0.13725490196078433,0.0,0.0,0.0,0.0,0,0,0.0,7.856321573257446,6.209764003753662,-1.6465575695037842,0.790416220345589,0.0442955493927001,7.812026023864746,0.0,0.0,0.4515917301177978,5.758172273635864,0.0
18,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड का संरचनात्मक सूत्र क्या है?,,0.8540836572647095,0.34426229508196726,0.28,0.44680851063829785,0.13333333333333333,0.10810810810810811,0.17391304347826086,0.26229508196721313,0.21333333333333335,0.3404255319148936,0.0,0.0,0.0,0.0,0,0,0.0,8.192269802093506,7.636174440383911,-0.5560953617095947,0.932119501048722,0.0124773979187011,8.179792404174805,0.0,0.0,0.4868769645690918,7.149297475814819,0.0
19,Hindi,स्थानीय एनेस्थेटिक्स की क्रिया में प्लाज्मा प्रोटीन की क्या भूमिका होती है?,,0.2980116009712219,0.27737226277372257,0.19095477386934673,0.5066666666666667,0.10294117647058823,0.0707070707070707,0.1891891891891892,0.13138686131386862,0.09045226130653267,0.24,0.0,0.0,0.0,0.0,0,0,0.0,7.773043394088745,10.808462619781494,3.035419225692749,1.3905058896237643,0.0286726951599121,7.744370698928833,0.0,0.0,0.4820199012756347,10.32644271850586,0.0
20,Hindi,कौन सी मेपिवाकेन हाइड्रोक्लोराइड की सांद्रता पूर्ण संवेदी और मोटर ब्लॉक प्रदान करती है?,,0.3564572036266327,0.39215686274509803,0.38461538461538464,0.4,0.13999999999999999,0.13725490196078433,0.14285714285714285,0.27450980392156865,0.2692307692307692,0.28,0.0,0.0,0.0,0.0,0,0,0.0,6.958580255508423,5.542058944702148,-1.4165213108062744,0.7964352987543754,0.0208044052124023,6.9377758502960205,0.0,0.0,0.4989192485809326,5.043139696121216,0.0
21,Hindi,मेपिवाकेन द्वारा प्रदान की गई एनेस्थीसिया आमतौर पर सर्जरी के लिए कितनी देर तक पर्याप्त होती है?,,0.8903181552886963,0.5,0.3974358974358974,0.6739130434782609,0.29508196721311475,0.23376623376623376,0.4,0.45161290322580644,0.358974358974359,0.6086956521739131,0.0,0.0,0.0,0.0,0,0,0.0,5.930700302124023,6.991064548492432,1.0603642463684082,1.1787924178176141,0.0351564884185791,5.895543813705444,0.0,0.0,0.5244975090026855,6.466567039489746,0.0
22,Hindi,मेपेरिडाइन हाइड्रोक्लोराइड इंजेक्शन का पीएच रेंज क्या है?,,0.6073717474937439,0.35820895522388063,0.36363636363636365,0.35294117647058826,0.1846153846153846,0.1875,0.18181818181818182,0.26865671641791045,0.2727272727272727,0.2647058823529412,0.0,0.0,0.0,0.0,0,0,0.0,5.045518398284912,5.629549503326416,0.5840311050415039,1.1157524478039818,0.0297527313232421,5.01576566696167,0.0,0.0,0.4531362056732178,5.176413297653198,0.0
