question_id,question,overlap_count,overlap_rate,total_unique_chunks,multi_chunk_count,trans_chunk_count,multi_only_count,trans_only_count,overlapping_chunks,multi_only_chunks,trans_only_chunks,multi_sources,trans_sources,multi_scores,trans_scores,multi_avg_relevance,trans_avg_relevance,overlapping_avg_relevance,multi_only_avg_relevance,trans_only_avg_relevance,multi_best_chunk_relevance,trans_best_chunk_relevance
Hindi_Q001,इंसुलिन प्रतिरोध क्या है और यह कोशिकाओं में ग्लूकोज के प्रवेश को कैसे प्रभावित करता है?,5,1.0,5,5,5,0,0,"["". As a result, your body needs more insulin to help the glucose enter your cells. At first, your body makes more insulin to try to get cells to respond. But over time, your body can't make enough insulin, and your blood glucose levels rise. You are at higher risk of developing type 2 diabetes if you"", ""Summary: Type 2diabetesis a disease in which your blood glucose, orblood sugar, levels are too high. Glucose is your main source of energy. It comes from the foods you eat. A hormone called insulin helps the glucose get into your cells to give them energy. If you have diabetes, your body doesn't mak"", "". This is a condition in which your cells don't respond normally to insulin. As a result, your body needs more insulin to help the glucose enter your cells. At first, your body makes more insulin to try to get cells to respond"", ""Summary: Diabetes, also known as diabetes mellitus, is a disease in which yourblood glucose, or blood sugar, levels are too high. Glucose is your body's main source of energy. Your body can make glucose, but it also comes from the food you eat. Insulin is ahormonemade by your pancreas. Insulin helps"", 'Summary: If you havediabetes, your blood glucose, orblood sugar, levels are too high. Glucose comes from the foods you eat. A hormone called insulin helps the glucose get into your cells to give them energy. Withtype 1 diabetes, your body does not make insulin. Withtype 2 diabetes, your body does no']",[],[],"['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)']","[11.578402519226074, 13.080230712890625, 13.409687995910645, 13.901535034179688, 14.247285842895508]","[12.930366516113281, 15.030597686767578, 17.01028823852539, 17.60680389404297, 17.857378005981445]",0.6940925002098084,0.6940925002098084,0.6940925002098084,0.0,0.0,0.760663628578186,0.760663628578186
Hindi_Q002,हृदय रोग के जोखिम पर पारिवारिक इतिहास का क्या प्रभाव पड़ता है?,2,0.4,6,5,5,2,2,"['. Some of these factors you can change, but others you cannot.Age.Your risk of heart disease goes up as you get older.Sex.Some factors may affect heart disease risk differently inwomenthan in men.Family history and genetics.A family history of early heart disease raises your risk. And research has s', '. For example:African Americans are more likely than Whites to die of heart disease, while Hispanic Americans are less likely to die of itAsian Americans as a group have lower rates of heart disease than other groups, but South Asian Americans have higher ratesYour family history.You have a greater ']","['WARNINGS AND CAUTIONS: 5 WARNINGS AND PRECAUTIONS Serious and potentially fatal cardiovascular (CV) thrombotic events, myocardial infarction, and stroke. Patients with known CV disease/risk factors may be at greater risk. ( 5.1 ) Serious gastrointestinal (GI) adverse events which can be fatal. The r', '. 1.1 Prevention of Cardiovascular Disease In adult patients without clinically evident coronary heart disease, but with multiple risk factors for coronary heart disease such as age, smoking, hypertension, low HDL-C, or a family history of early coronary heart disease, atorvastatin calcium tablets a']","['WARNINGS AND CAUTIONS: WARNINGS AND PRECAUTIONS Serious and potentially fatal cardiovascular (CV) thrombotic events, myocardial infarction, and stroke. Patients with known CV disease/risk factors may be at greater risk. ( 5.1 ) Serious gastrointestinal (GI) adverse events which can be fatal. The ris', '. The risk is higher in:Men age 45 and olderWomen age 55 and olderYour sex.Some risk factors may affect heart disease risk differently inwomenthan in men. For example:Thehormoneestrogen provides women some protection against heart diseaseDiabetesraises the risk of heart disease more in women than in']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA']","[7.99141788482666, 9.384392738342285, 9.795448303222656, 10.104164123535156, 10.104164123535156]","[12.987457275390625, 14.554962158203125, 16.923664093017578, 17.109275817871094, 17.109275817871094]",0.5476011037826538,0.5509970545768738,0.5788589417934418,0.5382816195487976,0.5342192351818085,0.6530472040176392,0.6530472040176392
Hindi_Q003,धूम्रपान का रक्तचाप और हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,1,0.2,6,5,5,2,3,"["". It also adds extra calories, which may cause weight gain. Both of those raise your risk of heart disease. It's best not to drink, but if you do:Have no more than 2 drinks per day if you are a man.Have no more than 1 drink per day if you are a woman.Not smoking.Cigarette smokingraises your blood pr""]","['. In the majority of the reported cases, patients had pre-existing cardiovascular disease and/or other risk factors. Although smoking is a risk factor for MI and CVA, based on temporal relationship between medication use and events, a contributory role of varenicline cannot be ruled out [see Warning', '. Iclevia is contraindicated in women over 35 years of age who smoke [ see Contraindications (4) ]. Cigarette smoking increases the risk of serious cardiovascular events from COC use. This risk increases with age, particularly in women over 35 years of age, and with the number of cigarettes smoked. ']","['. It may include only the lifestyle changes. These changes, such as heart-healthy eating and exercise, can be very effective. But sometimes the changes do not control or lower your high blood pressure. Then you may need to take medicine. There are different types of blood pressure medicines. Some pe', '. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including amlodipine besylate. Control of hi', '. The risk of hypertension is increased if bupropion is used concomitantly with MAOIs or other drugs that increase dopaminergic or noradrenergic activity [see Contraindications (4) ] . Data from a comparative trial of the sustained-release formulation of bupropion HCl, nicotine transdermal system (N']","['FDA', 'FDA', 'MedlinePlus (NIH)', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'FDA', 'FDA', 'MedlinePlus (NIH)', 'FDA']","[10.650436401367188, 10.650436401367188, 11.073812484741211, 11.504776954650879, 11.504776954650879]","[14.211435317993164, 14.717729568481445, 14.717729568481445, 14.7366943359375, 15.204178810119629]",0.6511486291885376,0.5604956805706024,0.6432760953903198,0.653116762638092,0.5363476971785227,0.6555946469306946,0.6432760953903198
Hindi_Q004,हृदय रोग के कौन से जोखिम कारक बदले जा सकते हैं?,3,0.6,6,5,5,1,2,"['. 1.1 Prevention of Cardiovascular Disease In adult patients without clinically evident coronary heart disease, but with multiple risk factors for coronary heart disease such as age, smoking, hypertension, low HDL-C, or a family history of early coronary heart disease, atorvastatin calcium tablets a', '. Some of these factors you can change, but others you cannot.Age.Your risk of heart disease goes up as you get older.Sex.Some factors may affect heart disease risk differently inwomenthan in men.Family history and genetics.A family history of early heart disease raises your risk. And research has s', '. The causes of heart disease depend on the type of disease. Some possible causes include lifestyle, genetics, infections, medicines, and other diseases. There are many different factors that can make you more likely to develop heart disease. Some of these factors you can change, but others you cann']","['WARNINGS AND CAUTIONS: 5 WARNINGS AND PRECAUTIONS Serious and potentially fatal cardiovascular (CV) thrombotic events, myocardial infarction, and stroke. Patients with known CV disease/risk factors may be at greater risk. ( 5.1 ) Serious gastrointestinal (GI) adverse events which can be fatal. The r']","['. Possible treatments may include:Heart-healthy lifestyle changesMedicinesProcedures orsurgeriesCardiac rehabilitationCan heart diseases be prevented?You may be able to lower your risk of certain heart diseases by makingheart-healthy lifestyle changesand managing any other medical conditions you hav', 'SUMMARY: Heart diseaseis the leading cause of the death in the United States. It is also a major cause of disability. But you can take steps to improve your health and help prevent heart disease. The first step is understanding your risk of heart disease. Your risk depends on many factors, some of w']","['FDA', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)']","[7.35376501083374, 7.691274642944336, 7.977457046508789, 8.040032386779785, 8.040032386779785]","[10.262157440185547, 11.239473342895508, 12.870543479919434, 13.396337509155273, 13.853452682495117]",0.6725533366203308,0.6605349898338317,0.6873082915941874,0.6504209041595459,0.6203750371932983,0.6926140189170837,0.6926140189170837
Hindi_Q005,विभिन्न जातीय समूहों में हृदय रोग की दरों में क्या अंतर हैं?,3,0.6,7,5,5,2,2,"['. Some of these factors you can change, but others you cannot.Age.Your risk of heart disease goes up as you get older.Sex.Some factors may affect heart disease risk differently inwomenthan in men.Family history and genetics.A family history of early heart disease raises your risk. And research has s', '. For example:African Americans are more likely than Whites to die of heart disease, while Hispanic Americans are less likely to die of itAsian Americans as a group have lower rates of heart disease than other groups, but South Asian Americans have higher ratesYour family history.You have a greater ', '. The risk is higher in:Men age 45 and olderWomen age 55 and olderYour sex.Some risk factors may affect heart disease risk differently inwomenthan in men. For example:Thehormoneestrogen provides women some protection against heart diseaseDiabetesraises the risk of heart disease more in women than in']","['. Race Pharmacokinetic differences due to race have not been identified. Clinical studies included patients of many races, all of whom responded in a similar fashion. Hepatic Insufficiency Etodolac is predominantly metabolized by the liver. In patients with compensated hepatic cirrhosis, the disposi', '. The subjects included in the study were men aged 35 to 59 with serum cholesterol levels above 265 mg/dL and no previous history of heart disease. It is not clear to what extent these findings can be extrapolated to females and other segments of the hypercholesterolemic population. (See also PRECAU']","['. The causes of heart disease depend on the type of disease. Some possible causes include lifestyle, genetics, infections, medicines, and other diseases. There are many different factors that can make you more likely to develop heart disease. Some of these factors you can change, but others you cann', ""Summary: Heart disease is a general term that includes many types of heart problems. It's a type of cardiovascular disease, which means heart and blood vessel disease. Heart disease is the leading cause of death in the United States, but there are ways to prevent and manage many types of heart disea""]","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'MedlinePlus (NIH)', 'FDA']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)']","[11.770217895507812, 13.025903701782227, 15.05733871459961, 15.920654296875, 16.688817977905273]","[13.72163200378418, 15.557518005371094, 18.84073257446289, 19.044151306152344, 19.067821502685547]",0.5863597393035889,0.5389851868152619,0.5810558398564657,0.5943155884742737,0.4758792072534561,0.7237425446510315,0.7237425446510315
Hindi_Q006,शराब के सेवन का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,1,0.2,1,5,5,0,0,"['. ( 5.2 ) Interaction with Alcohol: Increased effects of alcohol have been reported. Instruct patients to reduce the amount of alcohol they consume until they know whether varenicline affects them. ( 5.3 ) Accidental Injury: Accidental injuries (e.g., traffic accidents) have been reported. Instruct ']",[],[],"['FDA', 'FDA', 'FDA', 'FDA', 'FDA']","['FDA', 'FDA', 'FDA', 'FDA', 'FDA']","[8.01628303527832, 8.01628303527832, 8.01628303527832, 8.01628303527832, 8.01628303527832]","[15.5501127243042, 15.5501127243042, 15.5501127243042, 15.5501127243042, 15.5501127243042]",0.6133186221122742,0.6133186221122742,0.6133186221122742,0.0,0.0,0.6133186221122742,0.6133186221122742
Hindi_Q007,अतिरिक्त कैलोरी का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,2,0.4,7,5,5,3,2,"["". It also adds extra calories, which may cause weight gain. Both of those raise your risk of heart disease. It's best not to drink, but if you do:Have no more than 2 drinks per day if you are a man.Have no more than 1 drink per day if you are a woman.Not smoking.Cigarette smokingraises your blood pr"", '. This is mostly because they are linked to other heart disease risk factors, including high blood cholesterol and triglyceride levels, high blood pressure, and diabetes.Controlling your weightcan lower these risks.Eating a healthy diet.Try to limit saturatedfats, foods high insodium(salt), and adde']","['. 1.1 Prevention of Cardiovascular Disease In adult patients without clinically evident coronary heart disease, but with multiple risk factors for coronary heart disease such as age, smoking, hypertension, low HDL-C, or a family history of early coronary heart disease, atorvastatin calcium tablets a', 'evident coronary heart disease, atorvastatin calcium tablets are indicated to: Reduce the risk of non-fatal myocardial infarction Reduce the risk of fatal and non-fatal stroke Reduce the risk for revascularization procedures Reduce the risk of hospitalization for CHF Reduce the risk of angina 1.2 Hy', 'WARNINGS: WARNINGS SPECIAL WARNING ON INCREASED RISK OF CARDIOVASCULAR MORTALITY The administration of oral hypoglycemic drugs has been reported to be associated with increased cardiovascular mortality as compared to treatment with diet alone or diet plus insulin. This warning is based on the study ']","['. Fluid and Electrolyte Disturbances congestive heart failure in susceptible patients, fluid retention, hypokalemia, hypokalemic alkalosis, metabolic alkalosis, hypotension or shock-like reaction, potassium loss, sodium retention with resulting edema. Gastrointestinal abdominal distention, abdominal', '. Debilitated or malnourished patients, and those with adrenal, pituitary, or hepatic impairment are particularly susceptible to the hypoglycemic action of anti-diabetic medications. Hypoglycemia is also more likely to occur when caloric intake is deficient, after severe or prolonged exercise, or wh']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA']","[8.678915023803711, 9.10064697265625, 9.258731842041016, 9.890674591064453, 9.94944953918457]","[12.624748229980469, 14.588634490966797, 16.898677825927734, 17.183032989501953, 17.183032989501953]",0.6427025437355042,0.6076782941818237,0.692140519618988,0.6097438931465149,0.5511030554771423,0.7051420211791992,0.7051420211791992
Hindi_Q008,तनाव का हृदय रोग से क्या संबंध है?,2,0.4,6,5,5,2,2,"['. Extreme stress can be a ""trigger"" for a heart attack. Also, some common ways of coping with stress, such as overeating, heavy drinking, and smoking, are bad for your heart. Some ways to help manage your stress include exercise, listening to music, focusing on something calm or peaceful, and medita', '. Sometimeswomenwill have different symptoms then men. For example, they are more likely to feel tired for no reason. The most common cause of heart attacks iscoronary artery disease(CAD). With CAD, there is a buildup of cholesterol and other material, called plaque, on their inner walls or the arte']","['WARNINGS: WARNINGS Hypertension and Angina Cardiac Failure Sympathetic stimulation is a vital component supporting circulatory function in congestive heart failure, and beta blockade carries the potential hazard of further depressing myocardial contractility and precipitating more severe failure. In', 'WARNINGS: WARNINGS Cardiac Failure Sympathetic stimulation is necessary in supporting circulatory function in congestive heart failure, and beta blockade carries the potential hazard of further depressing myocardial contractility and precipitating more severe failure. In patients with acute myocardi']","['. The causes of heart disease depend on the type of disease. Some possible causes include lifestyle, genetics, infections, medicines, and other diseases. There are many different factors that can make you more likely to develop heart disease. Some of these factors you can change, but others you cann', '. They include the following: General: fatigue, increased appetite, weight loss, heat intolerance, fever, excessive sweating Central nervous system: headache, hyperactivity, nervousness, anxiety, irritability, emotional lability, insomnia Musculoskeletal: tremors, muscle weakness, muscle spasm Cardi']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'MedlinePlus (NIH)']","[7.98248291015625, 11.299710273742676, 11.37260627746582, 11.37260627746582, 11.8313570022583]","[13.029058456420898, 16.134912490844727, 16.887514114379883, 16.887514114379883, 18.12619400024414]",0.6806942701339722,0.6300360202789307,0.7051665782928467,0.6555316150188446,0.568398505449295,0.7738460302352905,0.7738460302352905
Hindi_Q009,कौन सा जातीय समूह अन्य की तुलना में हृदय रोग की दरों में कम है?,2,0.4,6,5,5,2,2,"['. Some of these factors you can change, but others you cannot.Age.Your risk of heart disease goes up as you get older.Sex.Some factors may affect heart disease risk differently inwomenthan in men.Family history and genetics.A family history of early heart disease raises your risk. And research has s', '. For example:African Americans are more likely than Whites to die of heart disease, while Hispanic Americans are less likely to die of itAsian Americans as a group have lower rates of heart disease than other groups, but South Asian Americans have higher ratesYour family history.You have a greater ']","['. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would b', '. The subjects included in the study were men aged 35 to 59 with serum cholesterol levels above 265 mg/dL and no previous history of heart disease. It is not clear to what extent these findings can be extrapolated to females and other segments of the hypercholesterolemic population. (See also PRECAU']","['. The majority of patients in the SOLVD-Prevention trial had a history of ischemic heart disease. A history of myocardial infarction was present in 80 percent of patients, current angina pectoris in 34 percent, and a history of hypertension in 37 percent. No statistically significant mortality effec', ""Summary: Heart disease is a general term that includes many types of heart problems. It's a type of cardiovascular disease, which means heart and blood vessel disease. Heart disease is the leading cause of death in the United States, but there are ways to prevent and manage many types of heart disea""]","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'FDA', 'FDA']","[11.105398178100586, 13.81905460357666, 14.437744140625, 15.835042953491211, 15.835042953491211]","[15.612287521362305, 19.647661209106445, 20.942276000976562, 21.590171813964844, 21.590171813964844]",0.591191828250885,0.5427792429924011,0.6175311505794525,0.5869733691215515,0.48489275574684143,0.7623134851455688,0.7623134851455688
Hindi_Q010,परिवार के सदस्यों के लिए हृदय रोग निदान की आयु सीमाएं क्या हैं जो जोखिम बढ़ाती हैं?,4,0.8,4,5,5,0,0,"['. Some of these factors you can change, but others you cannot.Age.Your risk of heart disease goes up as you get older.Sex.Some factors may affect heart disease risk differently inwomenthan in men.Family history and genetics.A family history of early heart disease raises your risk. And research has s', '. For example:African Americans are more likely than Whites to die of heart disease, while Hispanic Americans are less likely to die of itAsian Americans as a group have lower rates of heart disease than other groups, but South Asian Americans have higher ratesYour family history.You have a greater ', '. 5.5 Age-related Considerations The risk for cardiovascular disease and prevalence of risk factors for cardiovascular disease increase with age. Certain conditions, such as smoking and migraine headache without aura, that do not contraindicate COC use in younger females, are contraindications to us', '. The risk is higher in:Men age 45 and olderWomen age 55 and olderYour sex.Some risk factors may affect heart disease risk differently inwomenthan in men. For example:Thehormoneestrogen provides women some protection against heart diseaseDiabetesraises the risk of heart disease more in women than in']",[],[],"['MedlinePlus (NIH)', 'FDA', 'FDA', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)']","['FDA', 'FDA', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)', 'MedlinePlus (NIH)']","[9.425853729248047, 9.619182586669922, 9.619182586669922, 10.327150344848633, 10.366568565368652]","[13.081902503967285, 13.081902503967285, 13.438977241516113, 13.84462833404541, 13.905179977416992]",0.6180684685707092,0.6180684685707092,0.611251950263977,0.0,0.0,0.6892715692520142,0.6892715692520142
Hindi_Q011,अनुशंसित शराब से अधिक पीने के हृदय रोग जोखिम पर क्या प्रभाव होते हैं?,1,0.2,2,5,5,0,1,"['. ( 5.2 ) Interaction with Alcohol: Increased effects of alcohol have been reported. Instruct patients to reduce the amount of alcohol they consume until they know whether varenicline affects them. ( 5.3 ) Accidental Injury: Accidental injuries (e.g., traffic accidents) have been reported. Instruct ']",[],"["". It also adds extra calories, which may cause weight gain. Both of those raise your risk of heart disease. It's best not to drink, but if you do:Have no more than 2 drinks per day if you are a man.Have no more than 1 drink per day if you are a woman.Not smoking.Cigarette smokingraises your blood pr""]","['FDA', 'FDA', 'FDA', 'FDA', 'FDA']","['MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA', 'FDA']","[9.157910346984863, 9.157910346984863, 9.157910346984863, 9.157910346984863, 9.157910346984863]","[13.058237075805664, 13.246612548828125, 13.246612548828125, 13.246612548828125, 13.246612548828125]",0.6164882183074951,0.6260465979576111,0.6164882183074951,0.0,0.664280116558075,0.6164882183074951,0.664280116558075
Hindi_Q012,पुरुषों और महिलाओं के लिए हृदय रोग के जोखिम को कम करने के लिए पीने के दिशा-निर्देश क्या हैं?,4,0.8,4,5,5,0,0,"["". It also adds extra calories, which may cause weight gain. Both of those raise your risk of heart disease. It's best not to drink, but if you do:Have no more than 2 drinks per day if you are a man.Have no more than 1 drink per day if you are a woman.Not smoking.Cigarette smokingraises your blood pr"", '. 1.1 Prevention of Cardiovascular Disease In adult patients without clinically evident coronary heart disease, but with multiple risk factors for coronary heart disease such as age, smoking, hypertension, low HDL-C, or a family history of early coronary heart disease, atorvastatin calcium tablets a', 'evident coronary heart disease, atorvastatin calcium tablets are indicated to: Reduce the risk of non-fatal myocardial infarction Reduce the risk of fatal and non-fatal stroke Reduce the risk for revascularization procedures Reduce the risk of hospitalization for CHF Reduce the risk of angina 1.2 Hy', '. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including amlodipine besylate. Control of hi']",[],[],"['FDA', 'FDA', 'FDA', 'MedlinePlus (NIH)', 'FDA']","['FDA', 'MedlinePlus (NIH)', 'FDA', 'FDA', 'FDA']","[11.91221809387207, 12.72010612487793, 12.72010612487793, 12.761724472045898, 13.329309463500977]","[15.364938735961914, 15.771636962890625, 16.646486282348633, 16.869964599609375, 16.869964599609375]",0.6119145631790162,0.6119145631790162,0.6129570603370667,0.0,0.0,0.6513757705688477,0.6513757705688477
