question_id,language,question,question_english,multi_faithfulness_label,multi_faithfulness_score,multi_completeness_label,multi_completeness_score,multi_appropriateness_label,multi_appropriateness_score,multi_overall,multi_issues,trans_faithfulness_label,trans_faithfulness_score,trans_completeness_label,trans_completeness_score,trans_appropriateness_label,trans_appropriateness_score,trans_overall,trans_issues
Hindi_Q001,Hindi,इंसुलिन प्रतिरोध क्या है और यह कोशिकाओं में ग्लूकोज के प्रवेश को कैसे प्रभावित करता है?,What is insulin resistance and how does it affect glucose entry into cells?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about insulin resistance.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q002,Hindi,हृदय रोग के जोखिम पर पारिवारिक इतिहास का क्या प्रभाव पड़ता है?,How does family history influence the risk of heart disease?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about family history and heart disease risk.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about family history and heart disease risk.",None
Hindi_Q003,Hindi,धूम्रपान का रक्तचाप और हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,What impact does smoking have on blood pressure and heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question based on the reference text.",None
Hindi_Q004,Hindi,हृदय रोग के कौन से जोखिम कारक बदले जा सकते हैं?,What are the heart disease risk factors that can be changed?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q005,Hindi,विभिन्न जातीय समूहों में हृदय रोग की दरों में क्या अंतर हैं?,What are the differences in heart disease rates among different ethnic groups?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q006,Hindi,शराब के सेवन का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,What is the effect of alcohol consumption on heart disease risk?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,factual,5,no_answer,5,appropriate,5,"The answer is faithful to the reference text, complete in acknowledging the lack of information, and medically appropriate.",None
Hindi_Q007,Hindi,अतिरिक्त कैलोरी का हृदय रोग के जोखिम पर क्या प्रभाव पड़ता है?,What is the effect of extra calories on heart disease risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
Hindi_Q008,Hindi,तनाव का हृदय रोग से क्या संबंध है?,How does stress relate to heart disease?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about stress and heart disease.",None,partial,3,partial,3,appropriate,4,The answer is mostly faithful and medically appropriate but lacks some completeness and includes minor unsupported details.,Unsupported details about stress management activities; Misses additional factors like diabetes and sleep affecting heart disease
Hindi_Q009,Hindi,कौन सा जातीय समूह अन्य की तुलना में हृदय रोग की दरों में कम है?,Which ethnic group has lower rates of heart disease compared to others?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None,factual,5,complete,5,appropriate,5,"The answer is factual, complete, and medically appropriate, fully addressing the user's question based on the reference text.",None
Hindi_Q010,Hindi,परिवार के सदस्यों के लिए हृदय रोग निदान की आयु सीमाएं क्या हैं जो जोखिम बढ़ाती हैं?,What are the heart disease diagnosis age thresholds for family members that increase risk?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately addressing the user's question about heart disease risk based on family history.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, accurately reflecting the reference text.",None
Hindi_Q011,Hindi,अनुशंसित शराब से अधिक पीने के हृदय रोग जोखिम पर क्या प्रभाव होते हैं?,What are the effects of drinking more than recommended alcohol on heart disease risk?,factual,5,no_answer,5,appropriate,5,"The answer is faithful, complete, and medically appropriate as it accurately reflects the absence of relevant information in the reference text.",None,partial,3,complete,5,appropriate,5,"The answer is mostly accurate and complete, but it includes specific drink limits not found in the reference text.",Specific drink limits for men and women are not supported by the reference text.
Hindi_Q012,Hindi,पुरुषों और महिलाओं के लिए हृदय रोग के जोखिम को कम करने के लिए पीने के दिशा-निर्देश क्या हैं?,What are the drinking guidelines to reduce heart disease risk for men and women?,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate, providing clear drinking guidelines to reduce heart disease risk.",None,factual,5,complete,5,appropriate,5,"The generated answer is factual, complete, and medically appropriate.",None
